battery_voltage,battery_current,battery_charge,temperature,solar_power,communication_signal,packet_loss,pitch,yaw,roll,payload_temp
28.72,7.95,81.6,18.78,488.1,-85.05,0.016,0.06,0.14,-0.39,19.84
28.77,8.42,81.2,19.66,507.35,-84.95,0.011,-0.49,1.05,0.6,21.12
28.41,8.27,79.4,19.41,512.84,-83.82,0.042,-0.93,0.28,0.3,20.36
29.12,8.5,81.0,19.2,494.97,-84.13,0.029,-0.42,-0.52,0.86,20.55
28.95,8.52,80.6,19.64,514.88,-84.22,0.036,-0.83,0.22,-0.97,20.39
28.81,7.68,81.3,19.14,511.59,-84.83,0.023,-0.76,1.28,-0.53,20.75
28.79,8.6,81.1,19.65,518.04,-85.02,0.07,0.03,-0.87,-0.47,20.21
28.89,8.49,82.9,19.91,531.28,-86.89,0.002,-0.79,-0.38,-0.34,19.92
29.06,8.09,81.8,19.57,512.48,-87.18,0.042,0.37,0.08,0.13,20.44
28.77,8.3,82.1,19.4,510.16,-88.73,0.008,-0.67,0.7,1.2,20.72
29.0,8.15,82.0,19.38,511.7,-84.38,0.029,0.5,0.26,-0.59,20.44
29.25,8.36,82.6,19.76,515.45,-86.46,0.078,-0.58,0.97,-0.32,20.36
28.93,8.05,82.2,19.53,525.98,-86.09,0.011,0.41,0.04,0.65,20.83
29.1,8.29,83.2,20.56,533.43,-90.86,0.1,0.12,0.17,0.12,20.39
29.38,8.14,82.4,19.29,536.17,-87.67,0.006,0.34,-0.04,0.93,21.22
29.22,7.97,84.0,19.8,545.18,-85.27,0.093,-0.25,-0.27,-0.11,20.78
29.19,8.13,83.5,20.01,540.65,-86.28,0.001,-0.29,0.35,-0.14,21.18
29.27,8.86,83.2,20.04,558.77,-87.8,0.012,1.05,0.25,0.54,20.6
29.19,7.81,84.2,19.86,545.41,-87.02,0.036,-0.6,0.35,-0.29,21.69
29.42,7.91,84.1,20.57,579.18,-83.91,0.056,-0.48,0.73,-0.4,21.43
29.25,7.75,84.6,20.45,562.26,-87.26,0.005,-1.18,-0.09,0.02,21.58
29.09,7.75,84.3,20.56,551.55,-86.75,0.082,-0.44,-0.06,-0.4,20.92
29.31,8.12,84.2,20.16,553.61,-86.96,0.005,-0.89,0.46,0.07,21.24
29.27,8.05,84.7,20.35,573.43,-86.65,0.061,1.0,-1.15,0.19,21.73
29.39,7.79,84.5,20.76,570.74,-85.17,0.065,0.41,-0.9,0.75,21.33
29.42,8.05,85.9,20.3,584.56,-83.27,0.04,-0.37,0.84,-0.79,21.63
29.63,7.93,86.5,21.03,586.66,-84.78,0.066,0.48,-0.58,1.04,22.3
29.6,7.59,86.0,20.86,585.79,-86.65,0.003,-1.68,0.06,-0.28,21.88
29.58,7.13,86.9,21.38,582.69,-85.21,0.078,-0.66,0.19,1.08,22.39
29.59,7.78,87.0,20.98,580.71,-89.24,0.019,0.44,0.64,-0.21,22.04
29.49,7.53,86.1,21.88,596.15,-87.02,0.011,-0.7,-0.34,-0.11,22.75
29.39,7.42,87.2,21.51,613.99,-88.03,0.0,-0.39,0.4,0.51,22.19
29.7,7.21,85.8,21.67,612.41,-87.82,0.025,0.56,-0.49,-0.83,23.02
29.82,7.52,87.2,21.37,602.7,-85.51,0.002,0.23,-0.36,-0.51,23.78
29.75,7.33,86.4,21.83,621.81,-84.88,0.0,-0.74,-0.28,-0.75,22.85
29.73,7.09,87.5,21.68,628.89,-88.9,0.016,-0.22,-0.22,0.59,22.94
29.88,6.73,86.6,21.46,621.17,-87.14,0.002,-0.37,-0.43,0.25,23.81
29.85,7.35,88.9,22.07,636.55,-87.82,0.056,-0.42,-0.1,0.61,23.53
30.1,7.14,88.0,22.68,640.6,-85.81,0.001,-0.36,0.16,0.05,23.19
30.08,6.96,89.3,22.39,633.61,-85.1,0.025,0.74,0.59,-0.62,23.95
30.08,6.02,88.7,22.45,653.64,-83.33,0.023,-0.48,-0.69,-0.03,24.05
30.09,6.73,87.6,22.59,660.7,-84.89,0.025,0.71,-0.73,-0.13,23.87
29.88,6.6,88.9,23.63,670.94,-84.92,0.004,0.52,-0.57,-0.49,24.01
30.15,6.41,89.1,23.2,675.66,-88.09,0.064,0.58,0.06,0.09,24.79
30.15,6.75,89.8,22.58,656.34,-87.55,0.032,0.32,0.33,0.12,24.2
30.21,6.66,91.2,23.09,665.72,-86.39,0.046,0.32,-0.28,0.13,24.21
30.22,6.51,91.6,23.29,685.2,-82.56,0.056,0.13,0.81,0.31,24.61
30.25,6.61,90.3,23.33,690.11,-86.24,0.068,-0.31,0.25,-0.12,25.43
30.55,5.92,89.7,23.75,695.01,-84.14,0.038,0.95,0.22,0.37,25.14
30.25,6.01,90.4,23.68,733.23,-86.84,0.039,-0.25,0.56,-0.37,25.19
30.41,6.1,91.6,23.85,705.22,-86.18,0.005,-0.06,0.59,0.4,25.55
30.27,5.81,91.4,24.23,715.62,-86.1,0.006,0.4,0.31,0.34,25.93
30.45,6.14,90.4,23.79,718.51,-86.73,0.042,0.28,-0.8,0.74,26.52
30.5,5.69,91.5,23.73,720.12,-84.88,0.007,-0.77,1.47,0.39,26.21
30.46,6.16,93.2,25.07,715.04,-87.76,0.024,-0.11,-0.46,0.25,27.01
30.64,5.42,92.6,25.08,730.29,-88.48,0.01,-0.12,0.92,0.63,26.68
30.36,6.27,92.6,25.06,719.42,-86.04,0.009,0.78,-1.31,-0.05,26.43
30.44,6.17,92.4,25.19,729.14,-84.73,0.018,0.28,-0.28,-0.77,27.06
30.55,5.46,92.6,25.16,730.94,-86.6,0.005,1.06,-0.12,0.4,27.12
30.65,5.76,93.6,26.43,740.81,-81.87,0.056,-0.05,0.65,-0.6,27.49
30.59,5.23,93.4,25.59,767.25,-85.27,0.005,-0.03,0.37,0.47,27.47
30.75,5.58,94.1,26.58,729.45,-85.05,0.045,-0.05,0.4,-0.91,27.38
30.54,5.16,94.1,26.53,758.91,-86.56,0.019,0.27,1.19,0.55,27.29
30.51,4.76,93.9,26.11,739.74,-84.01,0.007,1.65,1.12,1.01,27.69
30.7,4.03,94.3,26.02,754.86,-83.3,0.013,0.06,0.6,0.13,27.19
30.68,4.94,93.7,26.23,774.08,-84.43,0.017,-0.53,-0.29,-0.3,27.86
30.77,5.05,94.3,26.22,767.33,-84.15,0.01,0.2,-0.04,-0.02,27.6
30.72,5.3,95.6,26.66,759.29,-84.14,0.05,-0.4,-0.65,0.34,28.4
30.7,4.86,94.7,26.86,766.18,-85.74,0.013,-0.33,0.49,0.28,28.68
30.75,5.09,94.6,26.33,783.27,-82.11,0.02,0.12,-0.47,-0.53,28.61
30.78,4.61,95.1,27.8,772.18,-84.62,0.001,1.09,-0.2,0.81,28.55
30.76,4.59,94.1,26.73,784.54,-81.44,0.008,-0.17,-0.17,-0.44,28.63
30.78,4.96,95.3,26.19,785.59,-85.71,0.003,0.18,0.16,-0.51,29.35
30.77,3.86,96.6,27.22,781.24,-82.42,0.072,-0.01,-0.13,-0.34,29.39
30.94,4.56,94.7,26.96,811.69,-83.37,0.059,0.4,-0.21,0.14,28.69
30.87,4.39,95.7,27.45,798.94,-83.38,0.01,-1.37,-0.04,0.12,29.33
31.13,4.88,95.5,27.61,774.55,-84.28,0.02,-0.17,0.45,-0.12,29.47
30.88,4.28,95.6,27.84,798.74,-82.26,0.012,-0.08,0.69,0.31,29.37
30.81,4.56,95.6,28.14,792.18,-82.33,0.045,0.15,0.07,-0.13,29.01
31.2,4.65,96.3,27.53,809.09,-80.32,0.008,0.46,-0.0,-0.08,28.83
30.93,3.89,94.9,27.85,794.27,-81.86,0.05,0.82,-0.03,-0.23,29.82
31.01,4.27,96.4,28.31,802.52,-83.34,0.006,0.06,-1.26,0.13,29.17
30.97,4.16,96.0,27.93,810.04,-83.24,0.01,0.92,0.22,-0.38,29.72
30.97,4.55,94.5,27.59,814.82,-81.97,0.066,0.48,-1.23,-0.14,30.29
30.96,4.45,96.3,28.54,795.18,-80.1,0.01,0.69,0.21,0.22,30.26
30.77,4.17,96.1,28.2,804.7,-81.61,0.073,0.26,1.03,0.72,29.93
30.94,3.91,95.3,28.25,804.0,-80.52,0.004,0.2,-0.54,-1.13,30.6
30.74,4.52,96.1,28.58,802.76,-81.47,0.03,0.83,-0.7,0.02,30.51
30.87,4.19,94.9,28.6,827.34,-84.59,0.01,0.27,0.08,0.03,30.17
30.81,3.72,95.4,29.01,813.97,-80.95,0.012,0.32,-0.8,-0.51,31.03
30.93,3.74,96.0,28.27,797.39,-81.79,0.054,-0.55,-0.57,-0.4,30.66
30.92,4.33,94.6,29.55,819.1,-79.52,0.026,0.0,0.91,-0.6,30.2
30.93,3.82,95.0,28.31,830.9,-78.74,0.007,-0.19,-0.01,0.54,29.73
30.9,4.77,95.0,28.71,819.61,-78.38,0.087,0.57,-0.95,-0.89,30.68
30.79,3.94,95.9,28.58,793.53,-81.2,0.016,0.33,0.68,-0.55,30.42
30.82,4.24,96.1,28.93,803.17,-81.52,0.063,0.38,-0.39,-0.43,30.66
30.95,4.3,95.0,28.94,819.82,-81.15,0.073,-0.14,0.81,-0.37,30.57
30.95,4.05,94.8,29.02,799.05,-80.71,0.016,-0.25,-0.51,-0.08,29.8
30.67,3.62,95.6,29.07,809.39,-80.15,0.016,0.18,0.61,-0.33,30.58
30.61,4.37,95.5,29.45,811.37,-81.65,0.024,0.73,1.22,-0.09,30.26
30.7,4.11,94.8,29.05,792.87,-80.1,0.03,-0.54,0.19,-0.64,30.5
30.89,4.41,96.7,29.49,799.92,-83.05,0.002,-0.28,0.52,-0.86,30.46
30.9,4.37,95.3,28.39,766.32,-76.64,0.002,1.18,-0.03,0.06,30.71
30.62,4.52,94.8,28.23,786.56,-80.08,0.009,-0.62,0.42,0.54,30.79
30.75,4.94,94.6,29.02,792.21,-80.24,0.017,0.69,0.88,0.0,30.83
30.91,4.35,95.5,29.08,780.04,-78.66,0.032,-1.0,-0.87,-0.09,29.66
30.72,4.41,95.0,28.76,806.49,-78.09,0.007,-0.36,-0.78,-0.08,31.16
30.82,4.1,93.1,28.91,773.37,-82.26,0.011,0.49,-1.49,-0.24,29.9
30.75,4.59,93.7,29.26,780.64,-80.12,0.016,-0.3,0.79,0.63,30.51
30.5,4.82,93.8,29.09,783.59,-76.84,0.01,-0.22,-0.54,0.7,30.14
30.56,4.6,94.0,28.7,793.8,-77.54,0.015,-1.02,0.51,0.59,30.54
30.56,4.92,94.3,28.84,762.01,-80.48,0.004,-0.55,1.27,0.81,29.63
30.55,4.8,92.8,28.99,784.86,-76.83,0.0,-0.93,1.22,0.31,30.93
30.62,4.52,93.4,28.24,770.06,-77.36,0.007,-0.77,-0.42,0.12,30.1
30.53,5.06,94.6,28.33,756.76,-79.59,0.01,0.44,0.14,-0.14,30.37
30.1,4.96,93.1,28.87,767.69,-78.27,0.047,-0.78,0.22,0.08,29.78
30.27,5.12,92.3,27.88,761.45,-80.71,0.042,0.17,0.52,0.04,30.68
30.13,4.98,91.6,28.03,749.74,-76.83,0.039,-0.07,-0.74,0.66,29.39
30.39,5.02,92.1,27.92,752.61,-75.63,0.097,-0.65,1.15,0.28,28.8
30.37,5.33,91.4,28.58,744.14,-78.35,0.016,-0.71,0.26,0.78,30.3
30.34,5.28,91.7,27.8,745.1,-77.74,0.003,0.35,1.68,-0.46,29.19
30.16,5.94,92.2,28.37,746.48,-77.0,0.051,0.4,-0.12,1.03,29.53
30.32,5.73,91.6,27.88,751.51,-77.88,0.026,0.71,0.37,-0.12,30.08
30.3,5.72,91.0,28.53,718.99,-80.54,0.25,-0.1,0.23,0.83,29.19
30.03,5.58,89.7,27.86,748.33,-75.73,0.012,-0.28,-0.34,-0.17,29.34
29.97,5.1,91.6,28.09,703.03,-75.45,0.062,-1.1,-0.54,0.26,29.45
30.11,5.54,90.4,27.77,716.52,-76.15,0.059,-0.01,0.04,-0.07,29.02
30.3,5.66,90.5,27.34,719.34,-74.99,0.123,-0.84,-1.06,0.14,29.4
30.25,5.84,89.5,27.38,711.62,-77.21,0.124,-0.34,-0.19,0.19,29.04
30.08,5.99,89.6,27.28,697.88,-76.27,0.144,-0.2,0.7,-0.12,28.27
29.89,6.27,89.2,26.99,697.27,-77.91,0.074,-0.62,-0.43,-0.47,28.79
30.05,6.23,88.4,27.35,689.61,-78.1,0.009,0.83,-0.61,0.3,28.35
29.86,6.57,88.5,27.79,683.8,-78.67,0.017,1.49,-0.42,0.56,28.21
29.78,6.21,88.9,26.83,693.3,-76.13,0.106,0.88,-0.29,-0.22,28.21
29.58,6.45,88.9,26.91,683.45,-76.45,0.015,0.85,-0.4,-0.17,28.31
29.82,6.56,87.9,26.71,668.0,-74.87,0.075,0.29,-1.51,0.48,27.41
29.7,6.6,87.2,25.48,678.95,-79.08,0.042,0.57,0.72,0.08,28.17
29.75,6.99,87.7,26.43,668.03,-76.02,0.06,0.48,1.03,0.05,27.99
