channel_id,spacecraft,train_file,test_file,train_shape,test_shape,signal_columns,command_columns,physical_description,unit,subsystem,meaning_status,meaning_source,anomaly_label_available,notes
D-1,SMAP,train/D-1.npy,test/D-1.npy,"(2849, 25)","(8509, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-11,SMAP,train/D-11.npy,test/D-11.npy,"(2611, 25)","(7431, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-12,SMAP,train/D-12.npy,test/D-12.npy,"(312, 25)","(7918, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-13,SMAP,train/D-13.npy,test/D-13.npy,"(1490, 25)","(7663, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-14,MSL,train/D-14.npy,test/D-14.npy,"(3675, 55)","(2625, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [point, point]"
D-15,MSL,train/D-15.npy,test/D-15.npy,"(2074, 55)","(2158, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-16,MSL,train/D-16.npy,test/D-16.npy,"(1451, 55)","(2191, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
D-2,SMAP,train/D-2.npy,test/D-2.npy,"(2880, 25)","(8595, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-3,SMAP,train/D-3.npy,test/D-3.npy,"(2880, 25)","(8640, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-4,SMAP,train/D-4.npy,test/D-4.npy,"(2833, 25)","(8473, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-5,SMAP,train/D-5.npy,test/D-5.npy,"(2561, 25)","(7628, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-6,SMAP,train/D-6.npy,test/D-6.npy,"(2594, 25)","(7884, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-7,SMAP,train/D-7.npy,test/D-7.npy,"(2583, 25)","(7642, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-8,SMAP,train/D-8.npy,test/D-8.npy,"(2602, 25)","(7874, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
D-9,SMAP,train/D-9.npy,test/D-9.npy,"(2583, 25)","(7406, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Power distribution & switching telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Power Distribution,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-1,SMAP,train/E-1.npy,test/E-1.npy,"(2880, 25)","(8516, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
E-10,SMAP,train/E-10.npy,test/E-10.npy,"(2880, 25)","(8505, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
E-11,SMAP,train/E-11.npy,test/E-11.npy,"(2880, 25)","(8514, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
E-12,SMAP,train/E-12.npy,test/E-12.npy,"(2880, 25)","(8512, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"2 labeled anomaly sequence(s); class: [contextual, contextual]"
E-13,SMAP,train/E-13.npy,test/E-13.npy,"(2880, 25)","(8640, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"3 labeled anomaly sequence(s); class: [contextual, contextual, contextual]"
E-2,SMAP,train/E-2.npy,test/E-2.npy,"(2880, 25)","(8532, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-3,SMAP,train/E-3.npy,test/E-3.npy,"(2880, 25)","(8307, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-4,SMAP,train/E-4.npy,test/E-4.npy,"(2880, 25)","(8354, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-5,SMAP,train/E-5.npy,test/E-5.npy,"(2880, 25)","(8294, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-6,SMAP,train/E-6.npy,test/E-6.npy,"(2880, 25)","(8300, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-7,SMAP,train/E-7.npy,test/E-7.npy,"(2769, 25)","(8310, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-8,SMAP,train/E-8.npy,test/E-8.npy,"(2880, 25)","(8532, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
E-9,SMAP,train/E-9.npy,test/E-9.npy,"(2880, 25)","(8302, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Energy / battery storage telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Electrical Power Subsystem (EPS),PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
F-1,SMAP,train/F-1.npy,test/F-1.npy,"(2869, 25)","(8584, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
F-2,SMAP,train/F-2.npy,test/F-2.npy,"(2861, 25)","(8626, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
F-3,SMAP,train/F-3.npy,test/F-3.npy,"(2880, 25)","(8376, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
F-4,MSL,train/F-4.npy,test/F-4.npy,"(2244, 55)","(3422, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
F-5,MSL,train/F-5.npy,test/F-5.npy,"(2598, 55)","(3922, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
F-7,MSL,train/F-7.npy,test/F-7.npy,"(2511, 55)","(5054, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"3 labeled anomaly sequence(s); class: [contextual, contextual, contextual]"
F-8,MSL,train/F-8.npy,test/F-8.npy,"(3342, 55)","(2487, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Flight dynamics / actuator telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Flight Dynamics / Propulsion,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
G-1,SMAP,train/G-1.npy,test/G-1.npy,"(2820, 25)","(8469, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
G-2,SMAP,train/G-2.npy,test/G-2.npy,"(2478, 25)","(7361, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
G-3,SMAP,train/G-3.npy,test/G-3.npy,"(2624, 25)","(7907, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
G-4,SMAP,train/G-4.npy,test/G-4.npy,"(2551, 25)","(7632, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
G-6,SMAP,train/G-6.npy,test/G-6.npy,"(2881, 25)","(8640, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [point]
G-7,SMAP,train/G-7.npy,test/G-7.npy,"(2446, 25)","(8029, 25)",1 (column 0: continuous normalized telemetry),24 (columns 1..24: binary mode/command indicators),Guidance / gyro / navigation stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Guidance & Navigation,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,"3 labeled anomaly sequence(s); class: [contextual, point, contextual]"
M-1,MSL,train/M-1.npy,test/M-1.npy,"(2209, 55)","(2277, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
M-2,MSL,train/M-2.npy,test/M-2.npy,"(2208, 55)","(2277, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
M-3,MSL,train/M-3.npy,test/M-3.npy,"(2037, 55)","(2127, 55)",1 (column 0: continuous normalized telemetry),54 (columns 1..54: binary mode/command indicators),Rover mechanism / mobility telemetry stream (Anonymized by NASA JPL),"Normalized [-1.0, 1.0] / [0.0, 1.0] (Exact physical unit anonymized by NASA JPL)",Rover Mechanical / Mobility,PARTIALLY VERIFIED (Prefix group),Hundman et al. (NASA JPL / ACM SIGKDD 2018),YES,1 labeled anomaly sequence(s); class: [contextual]
